wallet_address,risk_score,risk_category,eth_balance,total_tx_count,analyzed_transactions,compound_transactions,defi_transactions,success_rate,days_since_last_tx,engagement_score,is_active_wallet,analysis_status,liquidation_risk_score,volatility_risk_score,concentration_risk_score,activity_risk_score,leverage_risk_score,liquidity_risk_score
0x22d7510588d90ed5a87e0f838391aaafa707c34b,621.79,High,0.0058,1,2,0,0,1.0,1811,0.0,True,success,0.7,0.67,0.789,0.998,0.417,0.751
0xf80a8b9cfff0febf49914c269fb8aead4a22f847,603.78,High,0.016,1,3,0,0,0.333,1823,0.0,True,success,0.9,0.422,0.58,0.997,0.39,0.877
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,601.6,High,0.0014,12,15,1,0,1.0,352,0.067,True,success,0.687,0.65,0.549,0.984,0.653,0.682
0x8d900f213db5205c529aaba5d10e71a0ed2646db,592.79,High,0.013,9,11,2,0,1.0,1655,0.182,True,success,0.664,0.689,0.495,0.988,0.673,0.743
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,588.83,High,0.0048,19,21,1,0,0.952,1708,0.048,True,success,0.705,0.588,0.456,0.98,0.619,0.774
0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,580.15,High,0.0305,10,11,3,0,1.0,1661,0.273,True,success,0.645,0.661,0.725,0.992,0.636,0.502
0x104ae61d8d487ad689969a17807ddc338b445416,579.02,High,0.0,3,5,1,0,1.0,986,0.2,True,success,0.66,0.67,0.644,0.995,0.448,0.742
0x8441fecef5cc6f697be2c4fc4a36feacede8df67,570.57,High,0.0,13,19,2,1,1.0,204,0.158,True,success,0.668,0.618,0.497,0.981,0.626,0.643
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,568.74,High,0.0011,5,10,1,0,1.0,543,0.1,True,success,0.68,0.638,0.455,0.989,0.462,0.775
0x623af911f493747c216ad389c7805a37019c662d,558.44,High,0.0017,18,28,1,0,0.893,372,0.036,True,success,0.725,0.543,0.394,0.981,0.614,0.518
0x9a363adc5d382c04d36b09158286328f75672098,552.71,High,0.0186,6,9,0,0,1.0,1726,0.0,True,success,0.7,0.536,0.45,0.993,0.36,0.758
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,549.74,Medium,0.0422,21,24,1,2,1.0,311,0.125,True,success,0.675,0.594,0.47,0.98,0.625,0.416
0xa98dc64bb42575efec7d1e4560c029231ce5da51,543.3,Medium,0.0068,5,8,1,0,1.0,1389,0.125,True,success,0.675,0.597,0.419,0.993,0.36,0.782
0xebb8629e8a3ec86cf90cb7600264415640834483,535.62,Medium,0.0001,4,7,2,0,1.0,861,0.286,True,success,0.643,0.658,0.389,0.991,0.427,0.794
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,533.45,Medium,0.0046,4,6,1,0,1.0,1686,0.167,True,success,0.667,0.567,0.42,0.995,0.36,0.788
0x19df3e87f73c4aaf4809295561465b993e102668,532.14,Medium,1.1153,13,16,1,0,1.0,60,0.062,True,success,0.587,0.604,0.407,0.987,0.497,0.592
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,531.5,Medium,0.0003,95,100,2,1,0.93,831,0.03,True,success,0.715,0.436,0.342,0.936,0.645,0.513
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,528.24,Medium,4.1342,1817,100,0,0,0.99,500,0.0,True,success,0.703,0.415,0.599,0.84,0.62,0.302
0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,526.72,Medium,0.0025,4,5,1,0,1.0,1712,0.2,True,success,0.66,0.558,0.416,0.995,0.356,0.794
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,523.89,Medium,0.0008,3,4,1,0,1.0,1671,0.25,True,success,0.65,0.588,0.408,0.996,0.356,0.797
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,523.83,Medium,0.0119,3,4,1,0,1.0,1544,0.25,True,success,0.65,0.598,0.408,0.996,0.356,0.775
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,523.63,Medium,0.0009,3,4,1,0,1.0,1575,0.25,True,success,0.65,0.586,0.408,0.996,0.356,0.796
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,523.43,Medium,0.002,70,99,2,0,0.98,1804,0.02,True,success,0.702,0.421,0.342,0.927,0.628,0.5
0x8aaece100580b749a20f8ce30338c4e0770b65ed,522.75,Medium,0.0,3,4,1,0,1.0,526,0.25,True,success,0.65,0.58,0.408,0.996,0.356,0.798
0xb475576594ae44e1f75f534f993cbb7673e4c8b6,522.48,Medium,0.0058,3,4,1,0,1.0,1195,0.25,True,success,0.65,0.584,0.408,0.996,0.356,0.787
